# Extended metadata for cities.csv (not used by C++ parser)
# Source: GeoNames cities1000 India subset (CC BY 4.0)
city,geoname_id,admin1_code,state,population,latitude,longitude
Sham Churasi,1256676,23,Punjab,4426,31.500280,75.749170
Shamgarh,1256673,35,Madhya Pradesh,24637,24.188170,75.639030
Shamli,1256671,36,Uttar Pradesh,97966,29.449700,77.309590
Shamsabad_Madhya_Pradesh,1256661,35,Madhya Pradesh,11329,23.814950,77.495670
Shamsabad_Uttar_Pradesh,1256660,36,Uttar Pradesh,31009,27.017180,78.123580
Shamshabad,7648816,40,Telangana,32583,17.251860,78.418350
Shamshi,10859990,11,Himachal Pradesh,8870,31.866410,77.147200
Shangus,12519447,12,Jammu and Kashmir,7875,33.696860,75.283660
Shankar,10713165,23,Punjab,5639,31.148100,75.532340
Shankargarh,1256650,36,Uttar Pradesh,14137,25.182000,81.617690
Shankrampet,1256645,40,Telangana,6227,18.049310,77.914180
Shantipur,1256639,28,West Bengal,149983,23.247230,88.433020
Sharakpur,10713187,23,Punjab,1587,31.140610,75.507620
Shegaon,1256620,16,Maharashtra,59672,20.793200,76.699210
Shehera,1256616,09,Gujarat,19175,22.950840,73.631180
Sheikhpura,1256698,34,Bihar,62927,25.139940,85.840960
Shekhpura,13156924,34,Bihar,10204,26.143870,85.390710
Shelar,13353674,16,Maharashtra,14899,19.322160,73.067700
Shella,8430980,18,Meghalaya,54039,25.178610,91.639520
Shendurjana,1256846,16,Maharashtra,21748,21.524880,78.283500
Shenkottai,1256608,25,Tamil Nadu,26823,8.977410,77.246330
Sheoganj,1256598,24,Rajasthan,28053,25.139150,73.067840
Sheohar,1256597,34,Bihar,28116,26.513930,85.293410
Sheopur,1256593,35,Madhya Pradesh,71951,25.664720,76.696160
Sheragada,9031033,21,Odisha,6653,19.513010,84.604080
Shergarh,1256574,36,Uttar Pradesh,14076,28.651280,79.368150
Sherghati,1256572,34,Bihar,40666,24.559500,84.791620
Sherkot,1256569,36,Uttar Pradesh,57361,29.327040,78.574290
Sherpura,13157059,09,Gujarat,5748,21.714260,72.971720
Shertallai,1256558,13,Kerala,45474,9.685810,76.339960
Shi Yomi,12165950,30,Arunachal Pradesh,13310,28.529990,94.373220
Shiggaon,1256539,19,Karnataka,28207,14.990530,75.224990
Shikaripura,1256537,19,Karnataka,36015,14.269800,75.356430
Shikarpur,1256532,36,Uttar Pradesh,34649,28.280720,78.014110
Shikohabad,1256529,36,Uttar Pradesh,99678,27.108000,78.586610
Shillong,1256523,18,Meghalaya,143229,25.568920,91.883130
