# City coordinates for WeatherIQ (GeoNames cities1000, India)
# Format: city,latitude,longitude
# Source: https://download.geonames.org/export/dump/cities1000.zip (CC BY 4.0)
city,latitude,longitude
Arangaon,19.026810,74.714870
Arantangi,10.172350,78.991180
Araria,26.149340,87.513230
Arasur,11.086630,77.114600
Aravakkurichchi,10.775980,77.908690
Arcot,12.905690,79.318970
Arempudi,17.269630,82.375140
Areraj,26.550300,84.680100
Arimalam,10.254980,78.884030
Ariyallur,11.083280,75.849040
Ariyalur,11.138490,79.075560
Ariyankuppam,11.895320,79.807090
Ariyur,12.875580,79.103390
Arjunda,20.946050,81.202000
Arjyapalli Marine,19.316700,84.973730
Arkalgud,12.761710,76.060350
Arki,31.151960,76.966750
Arkula,12.874300,74.943450
Arni,12.667710,79.285290
Aron,24.381090,77.417390
Aroor,9.869400,76.304980
Arrah,25.556290,84.663350
Arsande,23.429650,85.351430
Arshakunti,13.078490,77.422470
Arsikere,13.314460,76.257040
Arsodiya,23.248980,72.521220
Artist Village,19.032270,73.042760
Arukutti,9.866670,76.350000
Arumanai,8.366960,77.243330
Arumbanur,9.994370,78.192450
Arumbavur,11.380960,78.729650
Arumuganeri,8.568800,78.090910
Aruppukkottai,9.509600,78.095880
Aruvankad,11.363150,76.757900
Arvi,20.995850,78.229140
Arwal,25.242810,84.665710
Arwani,33.782260,75.067390
Arya,22.921370,76.942940
Asan Khurd,29.404450,76.873230
Asandh,29.521190,76.605520
Asangaon,19.438660,73.305940
Asansol,23.683330,86.983330
Asara_Maharashtra,20.059010,78.012580
Asara_Uttar_Pradesh,29.247140,77.308860
Asarganj,25.150460,86.686390
Asham,34.251710,74.625940
Ashmuji Khalsa,33.671290,75.072660
Ashokapuram,11.101730,76.954480
Ashoknagar,24.575780,77.731230
Ashoknagar Kalyangarh,22.864160,88.637010
Ashta_Madhya_Pradesh,23.017540,76.722080
Ashta_Maharashtra,16.949430,74.409360
Ashti_Maharashtra,19.376710,76.225200
Asifabad,19.358510,79.284150
Asika,19.611140,84.659980
Asind,25.734200,74.332780
Asola,28.457260,77.184130
Asudubi,26.023160,90.665830
Atarra,25.286180,80.571550
Ateli Mandi,28.100800,76.259800
Athagarh,20.519990,85.629650
Athani,16.726130,75.064210
Athiyannur,8.393000,77.063710
